Ward name,New code,Population density (persons per sq km) - 2013,In employment (16-64) - 2011,Employment rate (16-64) - 2011,Median House Price (£) - 2014,Average GCSE capped point scores - 2014,A-Level Average Point Score Per Student - 2013/14,"Deliberate Fires per 1,000 population - 2014"
City of London,E09000001,"2,538",4555,79.6,"£765,000",355,662.9,0.4
Barking and Dagenham - Abbey,E05000026,"10,500",5444,60.3,"£173,000",318,682.6,1.4
Barking and Dagenham - Alibon,E05000027,"7,429",4143,63.1,"£215,000",307,627.9,0.7
Barking and Dagenham - Becontree,E05000028,"9,269",4598,61.2,"£210,000",295,632,1.2
Barking and Dagenham - Chadwell Heath,E05000029,"2,985",3819,63.6,"£240,500",293,613.9,1.3
Barking and Dagenham - Eastbrook,E05000030,"3,029",4592,68.2,"£240,000",306,670.1,0.8
Barking and Dagenham - Eastbury,E05000031,"8,357",4546,61.5,"£220,000",316,680.8,0.6
Barking and Dagenham - Gascoigne,E05000032,"12,773",4382,56.4,"£200,000",301,662.1,0.9
Barking and Dagenham - Goresbrook,E05000033,"8,692",4544,63.6,"£205,000",302,693.7,0.9
Barking and Dagenham - Heath,E05000034,"5,475",4043,61.4,"£215,000",297,656.7,2
Barking and Dagenham - Longbridge,E05000035,"7,281",4894,65.2,"£312,750",338,697.2,0.4
Barking and Dagenham - Mayesbrook,E05000036,"5,474",3978,61.9,"£212,000",305,648.5,0.7
Barking and Dagenham - Parsloes,E05000037,"8,250",3785,61.5,"£213,000",312,665.9,0.9
Barking and Dagenham - River,E05000038,"3,167",4420,64.2,"£205,500",300,632.6,1.3
Barking and Dagenham - Thames,E05000039,"1,867",4081,60.5,"£219,000",307,651.6,1.7
Barking and Dagenham - Valence,E05000040,"7,692",3873,63.1,"£215,000",303,661.1,0.2
Barking and Dagenham - Village,E05000041,"5,167",4242,61.7,"£202,500",302,643.6,1.1
Barking and Dagenham - Whalebone,E05000042,"6,781",4617,67.5,"£235,000",311,645.2,0.5
Barnet - Brunswick Park,E05000043,"5,219",7603,71.4,"£435,000",339,724.4,0.1
Barnet - Burnt Oak,E05000044,"8,857",7674,63.7,"£250,000",314,641,0.7
Barnet - Childs Hill,E05000045,"6,516",9309,67.9,"£507,500",336,672.2,0.1
Barnet - Colindale,E05000046,"8,250",7344,61.9,"£302,500",308,641.3,0.2
Barnet - Coppetts,E05000047,"6,426",8630,71.5,"£335,000",343,704.5,0.5
Barnet - East Barnet,E05000048,"4,303",7566,71.5,"£368,000",337,690.7,0.1
Barnet - East Finchley,E05000049,"6,440",8153,74.9,"£437,500",350,715.1,0.2
Barnet - Edgware,E05000050,"3,018",7259,69,"£455,000",327,736.8,0.2
Barnet - Finchley Church End,E05000051,"5,926",7386,72.6,"£528,000",361,779.4,0.2
Barnet - Garden Suburb,E05000052,"3,436",7373,73.1,"£825,000",369,879.7,0.1
Barnet - Golders Green,E05000053,"7,150",7635,66.7,"£555,250",342,739.9,0.2
Barnet - Hale,E05000054,"3,250",7828,70.7,"£397,250",326,734.8,0.3
Barnet - Hendon,E05000055,"6,625",8381,66.7,"£350,000",353,791.3,0.4
Barnet - High Barnet,E05000056,"1,874",7421,74.5,"£419,423",353,760.5,0.4
Barnet - Mill Hill,E05000057,"2,011",8329,70.5,"£520,000",353,733.2,0.2
Barnet - Oakleigh,E05000058,"4,833",7486,73.4,"£366,000",347,748.4,0.1
Barnet - Totteridge,E05000059,"1,796",6849,71.6,"£627,750",369,744.5,0.2
